1	3	5
1	4	2
1	8	3
1	12	1
1	14	4
1	17	1
1	18	1
1	26	1
1	30	5
1	34	6
1	37	1
1	38	1
1	46	2
2	3	1
2	4	2
2	8	2
2	13	2
2	18	1
2	33	3
2	34	4
2	37	1
2	38	1
2	39	4
2	40	2
2	48	1
3	4	12
3	5	2
3	6	3
3	8	25
3	9	8
3	10	2
3	12	16
3	13	8
3	14	4
3	15	2
3	16	2
3	17	4
3	18	3
3	20	2
3	21	1
3	23	8
3	24	3
3	25	3
3	26	4
3	27	2
3	28	5
3	29	1
3	30	5
3	33	3
3	34	56
3	36	6
3	37	2
3	38	4
3	39	23
3	40	11
3	41	8
3	42	6
3	46	13
3	47	4
3	48	2
4	5	5
4	6	1
4	8	32
4	9	10
4	10	3
4	12	11
4	13	26
4	14	10
4	15	3
4	17	7
4	18	5
4	20	1
4	21	14
4	22	4
4	23	11
4	24	4
4	25	5
4	26	2
4	29	1
4	30	2
4	31	2
4	33	5
4	34	58
4	36	1
4	37	15
4	38	8
4	39	39
4	40	13
4	44	4
4	46	25
4	47	14
4	48	19
5	6	1
5	8	5
5	9	3
5	13	5
5	15	2
5	18	2
5	19	2
5	21	2
5	23	7
5	24	3
5	25	2
5	30	1
5	34	19
5	35	2
5	37	3
5	38	1
5	39	11
5	40	6
5	44	2
5	46	5
5	47	1
5	48	5
6	8	3
6	9	2
6	15	1
6	20	2
6	23	1
6	24	2
6	25	1
6	34	2
6	36	1
6	38	1
6	39	8
6	40	2
7	8	5
7	9	18
7	12	1
7	13	6
7	19	2
7	23	1
7	25	1
7	29	5
7	34	6
7	46	1
8	9	7
8	10	15
8	11	2
8	12	12
8	13	33
8	14	4
8	15	20
8	16	1
8	17	7
8	18	16
8	19	3
8	20	5
8	21	7
8	22	4
8	23	16
8	24	10
8	25	3
8	26	3
8	27	1
8	28	69
8	29	7
8	30	7
8	31	25
8	33	5
8	34	102
8	36	3
8	37	19
8	38	26
8	39	46
8	40	12
8	42	3
8	44	2
8	45	54
8	46	61
8	47	16
8	48	6
9	12	48
9	13	21
9	16	1
9	17	1
9	18	2
9	19	16
9	20	5
9	23	19
9	24	3
9	25	15
9	29	7
9	34	19
9	35	2
9	36	17
9	37	3
9	39	29
9	44	3
9	46	8
9	48	7
10	18	3
10	20	3
10	23	4
10	24	4
10	28	10
10	29	3
10	34	8
10	37	3
10	38	6
10	46	17
10	47	3
11	12	2
11	13	1
11	23	4
11	27	5
11	34	3
11	44	3
12	13	37
12	14	8
12	16	7
12	17	1
12	18	2
12	19	2
12	20	1
12	21	3
12	23	11
12	24	4
12	25	8
12	26	4
12	27	23
12	29	7
12	30	2
12	31	6
12	32	5
12	34	35
12	36	23
12	37	7
12	38	3
12	39	28
12	41	26
12	43	9
12	44	6
12	46	5
12	48	2
13	14	17
13	17	1
13	18	7
13	19	7
13	21	15
13	23	12
13	24	3
13	25	5
13	26	5
13	27	13
13	29	5
13	30	5
13	31	8
13	32	5
13	34	56
13	36	3
13	37	15
13	38	10
13	39	32
13	40	4
13	41	48
13	44	6
13	46	12
13	47	2
13	48	17
14	17	4
14	18	4
14	21	9
14	23	1
14	26	4
14	30	5
14	31	7
14	32	5
14	34	16
14	37	6
14	38	5
14	41	6
14	44	2
14	46	8
14	48	3
15	24	2
15	25	1
15	28	12
15	34	5
15	38	1
15	39	8
15	40	6
15	45	12
16	20	1
16	23	3
16	24	2
16	27	4
16	34	3
17	18	2
17	21	3
17	26	1
17	30	1
17	34	7
17	37	2
17	38	1
17	39	6
17	46	12
17	47	2
18	19	3
18	20	1
18	23	5
18	24	1
18	25	1
18	26	1
18	29	2
18	30	3
18	31	5
18	34	19
18	37	4
18	38	7
18	39	11
18	40	2
18	44	1
18	46	14
18	47	3
18	48	4
19	23	4
19	24	1
19	25	2
19	29	1
19	30	3
19	34	14
19	37	2
19	38	3
19	39	4
19	46	2
19	48	2
20	23	3
20	24	2
20	29	1
20	34	3
20	36	2
20	37	1
20	38	2
20	46	5
20	47	1
21	23	3
21	25	1
21	31	7
21	34	22
21	36	1
21	37	9
21	39	10
21	41	2
21	44	3
21	46	22
21	47	5
21	48	5
22	33	8
22	34	24
22	37	4
22	38	8
22	44	8
22	47	4
22	48	4
23	24	9
23	25	6
23	27	15
23	28	10
23	30	2
23	32	5
23	34	42
23	36	3
23	37	3
23	38	1
23	39	18
23	40	8
23	44	11
23	46	6
23	47	7
23	48	17
24	27	8
24	28	10
24	29	1
24	30	1
24	34	14
24	35	2
24	36	1
24	37	2
24	38	3
24	39	19
24	40	11
24	44	1
24	46	2
24	48	1
25	29	1
25	34	4
25	36	3
25	38	1
25	39	9
25	40	1
25	44	1
25	46	1
25	48	7
26	27	2
26	30	1
26	34	14
26	37	1
26	38	1
26	39	8
26	41	8
26	42	3
26	46	2
27	34	15
27	37	1
27	41	16
27	43	3
27	44	9
28	34	11
28	45	36
28	46	5
29	30	1
29	34	5
29	36	3
29	37	3
29	38	5
29	39	7
29	46	5
29	47	1
30	32	5
30	34	15
30	37	3
30	38	5
30	39	4
30	46	2
30	47	1
30	48	1
31	34	5
31	37	2
31	38	5
31	41	2
31	44	2
31	46	10
31	48	1
32	34	5
32	38	5
33	34	18
33	37	5
33	38	7
33	44	4
33	47	2
33	48	5
34	35	2
34	36	4
34	37	45
34	38	28
34	39	87
34	40	32
34	41	10
34	42	33
34	43	3
34	44	25
34	45	6
34	46	69
34	47	39
34	48	23
35	44	2
35	48	2
36	39	12
36	40	4
37	38	12
37	39	14
37	43	3
37	44	3
37	46	17
37	47	2
37	48	2
38	39	15
38	40	1
38	44	4
38	46	14
38	47	4
38	48	3
39	40	53
39	44	3
39	46	15
39	48	9
41	48	2
44	47	5
44	48	6
46	47	27
47	48	1
